Binod Ratti 
Nupur Chhabra 
Leela Kulkarni 
Qabool Mistry 
Shweta Krish 
Animesh Masih 
Chhavi Malpani 
Umesh Usman 
Harpreet Som 
Javed Ganguly 
Akhila Vala 
Hrishikesh Varma 
Fatima Suresh 
Vijayent Behl 
Alex Narang 
Babita Raja 
Sushmita Surana 
Mowgli Raval 
Chhaya Johal 
Naval Koshy 
Amir Divan 
Damini Rama 
Lalita Nagarajan 
Charu Natarajan 
Heena Halder 
Yasmin Mukhopadhyay 
Heena Pathak 
Aruna Sodhi 
Taahid Sawhney 
Nawab, Garde 
Zara Srivastava 
Prabhat Karpe 
Mohanlal Venkataraman 
Akhila Kara 
Gayatri Kaur 
Ehsaan Barman 
Chhavi Mahajan 
Nayan Nazareth 
Siddharth Sing 
Anjana Ravel 
Mini Gara 
Tabeed Konda 
Rajesh Bal 
Laveena Ghosh 
Mukund Rajagopalan 
Jobin Din 
Kunti Misra 
Suresh Chad 
Kajol Thakur 
Chhavi Hari 
Kajal Setty 
Habib Hayre 
Giaan Hari 
Chitra Kohli 
Faisal Dhaliwal 
Deepesh Gole 
Urmila Sundaram 
Ehsaan Sanghvi 
Pamela Khare 
Ajay Nawal 
Bishnu Dave 
Alpa Naidu 
Bagwati Singhal 
Nishita Halder 
Uday Boase 
Diya Mall 
Ganesh Mehta 
Shweta Mital 
Prasoon Agarwal 
Ramesh Dhar 
Ram Issac 
Pranab Tank 
Manjari Memon 
Rajendra Bhatt 
Yadunandan Sharma 
Manish More 
Heena Contractor 
Aastha Bose 
Vicky Barad 
Samir Loke 
Pirzada Sridhar 
Prerna Malhotra 
Emran Trivedi 
Ruchi Ravi 
Veena Andra 
Ibrahim Mahal 
Rupesh Guha 
Deep Sama 
Poonam Date 
Himesh Narula 
Baalkrishan Dasgupta 
Sai Bhatt 
Ritika Aggarwal 
Vijayent Verma 
Isha Gade 
Sunita Karnik 
Bimla Narain 
Sapna Mall 
Neerendra Atwal 
Harpreet Nanda 
Runjhun Barad 
Charu Raman 
Dhanush Solanki 
Chhavi Aggarwal 
Pinky Radhakrishnan 
Jiya Shukla 
Ramesh Hari 
Trishana Lachman 
Nagma Zacharia 
Usha Kata 
Naina Bakshi 
Govind Goyal 
Vijayent Philip 
Divya Ben 
Mridula Naidu 
Obaid Hayer 
Bijoy Sarkar 
Julie Balan 
Manish Chhabra 
Rimi Wagle 
Nawab, Chacko 
Bijoy Parikh 
Niyati Sethi 
Seema Dani 
Nilima Rajagopalan 
Bahadur Gara 
Suresh Viswanathan 
Gowri Doshi 
Dipti Narasimhan 
Sona Nazareth 
Payal Dave 
Prabhat Sinha 
Riddhi Sangha 
Akhila Kadakia 
Babita Konda 
Uday Ahluwalia 
Sumit Luthra 
Omar Dash 
Somnath Pradhan 
Yadunandan Kata 
Nirmal Kala 
Baldev Kannan 
Vijay Raman 
Surya Wason 
Gowri Mathai 
Balaji Chahal 
Gowri Kaul 
Zeeshan Surana 
Elias Dubey 
Yamini Bhatnagar 
Supriya Banik 
Usha Shere 
Eddie Kunda 
Arvind Sandal 
Mahmood Choudhry 
Binita Oommen 
Rajesh Mohabir 
Fatima Yogi 
Devika Chokshi 
Julie Goswami 
Nitika Srinivas 
Abdul Borah 
Arun Mathur 
Preshita Bajaj 
Aarti Nagarajan 
Munni Agrawal 
Pirzada Mutti 
Nupur Dash 
Abhishek Divan 
Diya Dewan 
Sai Ahuja 
Akhila Inani 
Urmi Ganguly 
Sharad Thakkar 
Kalyan Baria 
Naval Garg 
Aarushi Chadha 
John Naruka 
Hrishikesh Chandran 
Taahid Bhandari 
Kalyan Rana 
Mitesh Murthy 
Fatima Arya 
Labeen Tata 
Shanti Sengupta 
Obaid Philip 
Ganesh Edwin 
Devika Dutt 
Sahil Gagrani 
Vijayent Parsa 
Kanika Mangal 
Pushpa Dhingra 
Ghalib Lalla 
Nutan Biswas 
Qadim Dube 
Heena Pillay 
Feroz Dewan 
Neerendra Sheth 
Savita Arora 
Kirti Ramanathan 
Pushpa Patel 
Payal Chandra 
Rohini Natt 
Raghavan Kumar 
Parveen Nagar 
Jagat Ray 
Heer Barman 
Mohanlal Rama 
Vicky Prabhakar 
Deepesh Singhal 
Baalkrishan Persaud 
Chinmay Sankar 
Akhila Trivedi 
Kunti Gour 
Bishnu Saraf 
Nupoor Deol 
Bagwati Brar 
Manoj Philip 
Jagruti Tiwari 
Astha Nazareth 
Nagma Saha 
Jyoti Prabhakar 
Monica Thakkar 
Rakhi Shan 
Nakul Behl 
Mohanlal Mukhopadhyay 
Yogesh Patil 
Dhiraj Nori 
Radhika Mutti 
Chameli Saran 
Anees Vig 
Jasmin Virk 
Mehul Char 
Afreen Apte 
Prerna Arora 
Pranab Sidhu 
Kajol Kade 
Binoya Warrior 
Trishana Somani 
Sai Bhatti 
Drishti Banerjee 
Monin Srinivas 
Naina Tank 
Ujwal Sandhu 
Parminder Ranganathan 
Niyati Bajwa 
Mini Dodiya 
Ambika Kunda 
Harpreet Tandon 
Samir Comar 
Dhanush Manda 
Bhanupriya Gara 
Azhar Mohan 
Rajendra Sing 
Albert Hegde 
Ratan Pardeshi 
Vijay Ahuja 
Pushpa Bala 
Binoya Varughese 
Urmi Trivedi 
Prasoon Chanda 
Jobin Ramakrishnan 
Ghanshyam Dada 
Vaishali Kulkarni 
Alaknanda Badami 
Pushpa Nath 
Ganesh Dodiya 
Payal Parekh 
Teena Sha 
Akhila Chatterjee 
Rachel Maheshwari 
Prasoon Subramanian 
Kabeer Ranganathan 
Astha Comar 
Subhash Chanda 
David Khalsa 
Avantika Prabhu 
Habib Pandey 
Supriya Basu 
Hina Ramaswamy 
Arun Devan 
Harpreet Kari 
Preet Parekh 
Pranay Doctor 
Dhiraj Maraj 
Isha Ghosh 
Krishna Hayer 
Manjari Balay 
Komal Bhatnagar 
Sirish Warrior 
Bagwati Sethi 
Uma Morar 
Ram Ram 
Binoya Gopal 
Gaurav Kohli 
Zeenat Saraf 
Nutan Kade 
Chitra Somani 
Vijay Varkey 
Aayushman Subramaniam 
Ghalib Warrior 
Raju Palla 
Roma Mital 
Shanti Hora 
Virat Talwar 
Aditi Agarwal 
Anjana Krishna 
Kajal Sastry 
Bagwati Gour 
Satish More 
Jack Tripathi 
Ajay Boase 
Govind Tank 
Sirish Sibal 
Jiya Minhas 
Manoj Goda 
Alex Shenoy 
Mehul Ramachandran 
Sheetal Tripathi 
Savita Kapoor 
